#separator:tab
#html:true
#tags:minmaculate pair
#deck:Minmaculate Grid::Pairs
Front	Back
BAL - CHC	<b>Optimal:</b> Edwin Jackson, LaTroy Hawkins, Mike Morgan, Rich Hill<br><b>Twins:</b> LaTroy Hawkins, Mike Morgan, Rich Hill
BAL - CHW	<b>Optimal:</b> Edwin Jackson<br><b>Twins:</b> Roy Sievers
BAL - CIN	<b>Optimal:</b> Bruce Chen, Mike Morgan<br><b>Twins:</b> Mike Morgan
BAL - CLE	<b>Optimal:</b> Bruce Chen, Rich Hill<br><b>Twins:</b> Gregg Olson, Rich Hill
BAL - COL	<b>Optimal:</b> LaTroy Hawkins<br><b>Twins:</b> LaTroy Hawkins
BAL - DET	<b>Optimal:</b> Edwin Jackson<br><b>Twins:</b> Gregg Olson
BAL - FLA	<b>Optimal:</b> Edwin Jackson<br><b>Twins:</b> Luis Ayala
BAL - HOU	<b>Optimal:</b> Bruce Chen, LaTroy Hawkins<br><b>Twins:</b> Gregg Olson, LaTroy Hawkins
BAL - KCR	<b>Optimal:</b> Bruce Chen<br><b>Twins:</b> Gregg Olson
BAL - LAD	<b>Optimal:</b> Edwin Jackson, Mike Morgan, Rich Hill<br><b>Twins:</b> Gregg Olson, Mike Morgan, Rich Hill
BAL - MIL	<b>Optimal:</b> LaTroy Hawkins<br><b>Twins:</b> LaTroy Hawkins
BAL - MIN	<b>Optimal:</b> LaTroy Hawkins, Mike Morgan, Rich Hill<br><b>Twins:</b> Gregg Olson, LaTroy Hawkins, Luis Ayala, Mike Morgan, Rich Hill, Roy Sievers
BAL - NYM	<b>Optimal:</b> Bruce Chen, LaTroy Hawkins, Rich Hill<br><b>Twins:</b> LaTroy Hawkins, Luis Ayala, Rich Hill
BAL - NYY	<b>Optimal:</b> LaTroy Hawkins, Mike Morgan, Rich Hill<br><b>Twins:</b> LaTroy Hawkins, Luis Ayala, Mike Morgan, Rich Hill
BAL - OAK	<b>Optimal:</b> Edwin Jackson, Mike Morgan, Rich Hill<br><b>Twins:</b> Mike Morgan, Rich Hill
BAL - PHI	<b>Optimal:</b> Bruce Chen<br><b>Twins:</b> Roy Sievers
BAL - PIT	<b>Optimal:</b> Rich Hill<br><b>Twins:</b> Rich Hill
BAL - SDP	<b>Optimal:</b> Edwin Jackson, Rich Hill<br><b>Twins:</b> Rich Hill
BAL - SEA	<b>Optimal:</b> Mike Morgan<br><b>Twins:</b> Mike Morgan
BAL - SFG	<b>Optimal:</b> LaTroy Hawkins<br><b>Twins:</b> LaTroy Hawkins
BAL - STL	<b>Optimal:</b> Edwin Jackson, Mike Morgan<br><b>Twins:</b> Mike Morgan
BAL - TBD	<b>Optimal:</b> Edwin Jackson, Rich Hill<br><b>Twins:</b> Rich Hill
BAL - TEX	<b>Optimal:</b> Bruce Chen, Mike Morgan<br><b>Twins:</b> Mike Morgan, Roy Sievers
BAL - TOR	<b>Optimal:</b> Edwin Jackson, LaTroy Hawkins, Mike Morgan<br><b>Twins:</b> LaTroy Hawkins, Mike Morgan
BAL - WSN	<b>Optimal:</b> Bruce Chen, Edwin Jackson<br><b>Twins:</b> Luis Ayala
BOS - CHC	<b>Optimal:</b> Matt Stairs, Rich Hill<br><b>Twins:</b> Orlando Merced, Rich Hill
BOS - CHW	<b>Optimal:</b> Ken Brett<br><b>Twins:</b> Ken Brett, Orlando Cabrera
BOS - CIN	<b>Optimal:</b> Bruce Chen, Chase Anderson, Edgar Renteria<br><b>Twins:</b> Dennys Reyes, Orlando Cabrera, Taylor Motter, Todd Jones
BOS - CLE	<b>Optimal:</b> Bruce Chen, Rich Hill<br><b>Twins:</b> Orlando Cabrera, Rich Hill, Sandy Leon
BOS - COL	<b>Optimal:</b> Chase Anderson<br><b>Twins:</b> Dennys Reyes, Taylor Motter, Todd Jones
BOS - DET	<b>Optimal:</b> Edgar Renteria, Matt Stairs<br><b>Twins:</b> Ron Kline, Todd Jones
BOS - FLA	<b>Optimal:</b> Edgar Renteria<br><b>Twins:</b> Sandy Leon, Todd Jones
BOS - HOU	<b>Optimal:</b> Bruce Chen, Jose Cruz<br><b>Twins:</b> Orlando Merced, Todd Jones
BOS - KCR	<b>Optimal:</b> Bruce Chen, Ken Brett, Matt Stairs<br><b>Twins:</b> Dennys Reyes, Ken Brett
BOS - LAD	<b>Optimal:</b> Jose Cruz, Ken Brett, Rich Hill<br><b>Twins:</b> Dennys Reyes, Ken Brett, Rich Hill
BOS - MIL	<b>Optimal:</b> Chase Anderson, Ken Brett, Matt Stairs<br><b>Twins:</b> Ken Brett
BOS - MIN	<b>Optimal:</b> Ken Brett, Rich Hill<br><b>Twins:</b> Dennys Reyes, Ken Brett, Orlando Cabrera, Orlando Merced, Rich Hill, Ron Kline, Sandy Leon, Taylor Motter, Todd Jones
BOS - NYM	<b>Optimal:</b> Bruce Chen, Rich Hill<br><b>Twins:</b> Rich Hill
BOS - NYY	<b>Optimal:</b> Ken Brett, Rich Hill<br><b>Twins:</b> Ken Brett, Rich Hill
BOS - OAK	<b>Optimal:</b> Matt Stairs, Rich Hill<br><b>Twins:</b> Orlando Cabrera, Rich Hill
BOS - PHI	<b>Optimal:</b> Bruce Chen, Chase Anderson, Ken Brett, Matt Stairs<br><b>Twins:</b> Ken Brett, Todd Jones
